wd_source_id,ms_source_id,wd_ra,wd_dec,ms_ra,ms_dec,r_med_geo,R_chance_align,sep_AU,wd_phot_g_mean_mag,wd_phot_bp_mean_mag,wd_phot_rp_mean_mag,ms_phot_g_mean_mag,ms_phot_bp_mean_mag,ms_phot_rp_mean_mag
4629851226124678528,4629851226125631360,12.57290963508188,-83.13876171633049,12.577499592551222,-83.14187223392904,197.5135955810547,0.0011678919294047648,2257.7785119542236,20.80318260192871,20.873424530029297,20.494182586669922,16.37980842590332,17.637590408325195,15.266151428222656
5613192196225478272,5613192131812799872,112.36642959780538,-27.05089657505481,112.36501420939364,-27.052754997266742,341.00311279296875,0.0007677680136656893,2789.256952727837,19.5687313079834,19.560043334960938,20.047603607177734,15.42214298248291,16.144657135009766,14.447427749633789
5786316972105722880,5786316972108029824,206.49862295133764,-78.57258007813462,206.50348205966966,-78.57189312336051,84.58868408203125,3.703507345811366e-11,361.6182203712715,20.40478515625,20.37356185913086,19.7204647064209,14.954365730285645,16.40736198425293,13.77451229095459
5924037812888396544,5924037812899916032,258.004079368927,-53.312724938069444,258.0054433321297,-53.3100031867012,241.68722534179688,0.004376412847066674,2491.4774539206715,19.57120704650879,19.546751022338867,19.905452728271484,11.204212188720703,11.535447120666504,10.708430290222168
5999917584227286912,5999917584227285888,232.13387792856875,-43.626703980603004,232.1320025898094,-43.62865180418509,91.4068832397461,0.0002843720995391133,783.218567539661,19.93164825439453,19.458515167236328,18.962505340576172,10.875825881958008,11.328958511352539,10.255248069763184
6529309583750849536,6529309583752035456,349.9465758716682,-45.20572837978947,349.9425129333443,-45.204640150078845,144.0219268798828,0.002084600032655588,1595.0835512010508,20.792593002319336,20.46196746826172,19.674489974975586,11.463393211364746,11.855573654174805,10.898930549621582
6535032404335044992,6535032404334880000,352.16707430006767,-43.692649332220086,352.1646712636388,-43.693079023126806,89.5255355834961,1.4274871475759707e-11,578.0045044936269,19.838476181030273,18.274280548095703,17.783227920532227,9.175960540771484,9.50359058380127,8.674644470214844
6574890113158167040,6574890113158672896,332.86819167763247,-37.11339036975474,332.8680583669921,-37.11463092631516,178.052490234375,3.150969234170624e-08,802.5718851189843,20.444150924682617,18.84478187561035,18.554962158203125,11.258625984191895,11.627970695495605,10.727557182312012
6620463598819012352,6620463804977936896,338.1450258358862,-28.815524440502372,338.14287767331837,-28.812103670779067,139.2088623046875,9.987333926221843e-11,1964.5906100469072,20.670082092285156,20.691286087036133,20.207212448120117,11.896127700805664,12.394604682922363,11.241435050964355
6832187963045348864,6832187963045935616,318.3696327841368,-20.674700929411816,318.3675976707358,-20.67570770892435,197.3585662841797,4.2515816015363945e-05,1545.2569622293843,20.4089298248291,20.219085693359375,20.007305145263672,13.21573543548584,13.964408874511719,12.369826316833496
